iter	Logloss
0	0.6225169527
1	0.5645564632
2	0.5208925375
3	0.4993904086
4	0.4595406723
5	0.4268704076
6	0.3998859561
7	0.3747736961
8	0.3554635802
9	0.3384851231
10	0.3234689815
11	0.3095625934
12	0.2961750336
13	0.2845555686
14	0.2743752749
15	0.2629924942
16	0.2560185071
17	0.247508592
18	0.243080513
19	0.2362970429
20	0.2273736047
21	0.2215229765
22	0.2127431051
23	0.2073239466
24	0.202925768
25	0.1974273413
26	0.1921555056
27	0.1864809954
28	0.1831241902
29	0.1819988307
30	0.1780044859
31	0.1736210065
32	0.1699278421
33	0.1663699131
34	0.1626133458
35	0.1586383666
36	0.15643154
37	0.1541257619
38	0.151539726
39	0.14886963
40	0.1467038093
41	0.1433280958
42	0.1410097708
43	0.1402338913
44	0.1380309205
45	0.1345338937
46	0.1329065023
47	0.1310917858
48	0.1303780809
49	0.1285288179
50	0.1260961138
51	0.1240780194
52	0.1226535385
53	0.1209107481
54	0.1196732311
55	0.1192494368
56	0.1180216763
57	0.1176288443
58	0.1160459784
59	0.1138842704
60	0.1120054823
61	0.1102668208
62	0.1093298829
63	0.1080500597
64	0.1066406884
65	0.1052054306
66	0.1037221958
67	0.102788505
68	0.1014092146
69	0.1012191833
70	0.09985522694
71	0.09874965462
72	0.09732513823
73	0.09645896731
74	0.09511286167
75	0.09416063239
76	0.09352598822
77	0.09272073928
78	0.09153030619
79	0.09053990006
80	0.08941138158
81	0.08865694094
82	0.0878988027
83	0.08689301041
84	0.08601270311
85	0.08453986992
86	0.08376837019
87	0.08307840147
88	0.08231549555
89	0.08160859856
90	0.08085841162
91	0.08007670302
92	0.07926664978
93	0.0786161873
94	0.07797586175
95	0.07728756785
96	0.07671802503
97	0.07593711158
98	0.07545310906
99	0.07497525988
