iter	Passed	Remaining
0	2615	258952
1	6041	296038
2	9460	305892
3	9468	227240
4	10997	208959
5	12867	201593
6	14292	189884
7	16935	194759
8	19806	200269
9	22370	201330
10	24930	201710
11	26692	195742
12	29289	196016
13	31198	191648
14	32528	184328
15	34231	179713
16	35799	174784
17	37969	172971
18	40618	173161
19	42739	170958
20	45481	171098
21	49350	174968
22	51250	171578
23	52604	166580
24	55533	166601
25	57491	163629
26	60601	163847
27	62025	159493
28	63378	155168
29	63388	147906
30	65990	146882
31	69248	147153
32	71502	145172
33	73766	143194
34	75296	139835
35	77747	138218
36	80983	137891
37	83845	136801
38	85843	134267
39	88062	132094
40	90200	129800
41	91866	126863
42	93688	124192
43	93720	119280
44	96190	117566
45	98451	115573
46	99811	112553
47	101103	109529
48	101108	105235
49	102533	102533
50	104561	100460
51	106771	98558
52	109205	96842
53	111234	94755
54	113263	92670
55	113269	88997
56	115788	87349
57	115799	83855
58	118187	82130
59	120328	80219
60	122490	78313
61	124670	76410
62	127098	74645
63	129143	72642
64	131507	70811
65	134117	69091
66	136150	67059
67	138552	65201
68	141422	63537
69	141436	60615
70	144181	58891
71	146344	56911
72	147743	54644
73	149820	52639
74	151343	50447
75	152857	48270
76	152937	45682
77	154401	43549
78	155864	41432
79	157540	39385
80	158890	37270
81	160156	35156
82	161532	33084
83	162962	31040
84	164510	29031
85	166824	27157
86	168990	25251
87	170313	23224
88	171596	21208
89	173138	19237
90	174456	17253
91	175752	15282
92	177240	13340
93	179472	11455
94	182325	9596
95	185295	7720
96	187517	5799
97	189163	3860
98	191282	1932
99	193753	0
